imdb_title_id,MPAA_rating,Distributor,boxoffice_link
tt0113303,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0113303/?ref_=bo_se_r_1
tt0114296,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0114296/?ref_=bo_se_r_1
tt0114069,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0114069/?ref_=bo_se_r_1
tt0112679,MPAAPG-13,Savoy Pictures,https://www.boxofficemojo.com/title/tt0112679/?ref_=bo_se_r_1
tt0112625,MPAAR,Gramercy Pictures (I)See full company information,https://www.boxofficemojo.com/title/tt0112625/?ref_=bo_se_r_1
tt0112606,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0112606/?ref_=bo_se_r_1
tt0113691,MPAAR,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0113691/?ref_=bo_se_r_1
tt0110443,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110443/?ref_=bo_se_r_1
tt0109642,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0109642/?ref_=bo_se_r_1
tt0111359,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111359/?ref_=bo_se_r_1
tt0114694,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0114694/?ref_=bo_se_r_1
tt0114614,MPAAR,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0114614/?ref_=bo_se_r_1
tt0113533,MPAAPG,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0113533/?ref_=bo_se_r_1
tt0112442,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0112442/?ref_=bo_se_r_1
tt0113198,MPAAG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0113198/?ref_=bo_se_r_1
tt0112883,MPAAPG-13,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0112883/?ref_=bo_se_r_1
tt0114108,MPAAG,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0114108/?ref_=bo_se_r_1
tt0114924,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0114924/?ref_=bo_se_r_1
tt0113552,MPAAR,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0113552/?ref_=bo_se_r_1
tt0113967,MPAAR,Gramercy Pictures (I)See full company information,https://www.boxofficemojo.com/title/tt0113967/?ref_=bo_se_r_1
tt0113118,MPAAR,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0113118/?ref_=bo_se_r_1
tt0114852,MPAAR,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0114852/?ref_=bo_se_r_1
tt0114697,MPAAPG-13,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0114697/?ref_=bo_se_r_1
tt0113117,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0113117/?ref_=bo_se_r_1
tt0113896,MPAAR,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0113896/?ref_=bo_se_r_1
tt0114084,MPAAR,Gramercy Pictures (I)See full company information,https://www.boxofficemojo.com/title/tt0114084/?ref_=bo_se_r_1
tt0112740,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0112740/?ref_=bo_se_r_1
tt0113670,MPAAG,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0113670/?ref_=bo_se_r_1
tt0113199,MPAAG,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0113199/?ref_=bo_se_r_1
tt0112864,MPAAR,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0112864/?ref_=bo_se_r_1
tt0113097,MPAAPG-13,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0113097/?ref_=bo_se_r_1
tt0112573,MPAAR,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0112573/?ref_=bo_se_r_1
tt0112642,MPAAPG,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0112642/?ref_=bo_se_r_1
tt0113481,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0113481/?ref_=bo_se_r_1
tt0113729,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0113729/?ref_=bo_se_r_1
